it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	alpha_0	alpha_1	alpha_2	acc_prob	mcmc_id
18200	-1196.8859974807494	-58.55090221550251	-1138.335095265247	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09924578484250432	0.956711228461748	-0.7318867598607582	2.1480626558381855	-0.008193683205195708	3.013912514039227	0.020152936602081034	0.9928678112380696	0.0029507178385877394	0.2507142857142857	0
18300	-1197.3031183901478	-58.46517807764033	-1138.8379403125075	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09674660465813531	0.9582760256912086	-0.7334786653064047	2.147583330158092	0.020319612308083074	3.00884263165034	0.02470498608796603	0.965549542106515	0.028685745006991753	0.25049180327868853	0
18400	-1197.735821468825	-56.49536679048934	-1141.2404546783357	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09432181624623005	0.9609307912052302	-0.7201128044539382	2.164502290168528	-0.0022418533926808503	2.9838944736301904	0.02665846731800056	0.9944422494073668	0.08963327324705059	0.2505978260869565	0
18500	-1199.2882618042406	-57.03115532335477	-1142.2571064808858	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09542477808504579	0.9621094998516194	-0.6996947046746679	2.178004447678867	-0.009981686849870792	3.007598509698222	0.02405515245376215	0.9726172846059796	0.030292148723777793	0.251027027027027	0
18600	-1201.0098423418008	-53.66669966838942	-1147.3431426734114	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09255594366786783	0.966004621458432	-0.6632450403307238	2.2121893518621127	-0.022543021884804445	3.0269276221803043	0.051101160250180154	0.9784274583961894	0.002637757048413028	0.25150537634408604	0
18700	-1202.427662320037	-57.20848020243885	-1145.2191821175982	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09171590162859804	0.9641163854388208	-0.6644108104203176	2.2172480646959363	-0.028509317344312855	3.021281669162138	0.010523044839261418	0.9856079809323548	0.0023742339943302743	0.2516577540106952	0
18800	-1206.4963402778287	-59.30836242977053	-1147.1879778480582	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09719881444181847	0.9686097535711343	-0.6793322891572346	2.192339282096882	-0.05704430337996413	2.988700330163812	0.0021196637898974954	0.9598039307052829	0.13966142803480913	0.2523936170212766	0
18900	-1204.0734288743163	-58.77677528766275	-1145.2966535866535	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09241495406745746	0.9694347522308338	-0.6790073993265158	2.1886647526657996	-0.05430605796008708	2.9844720027964704	0.011068605387695066	0.990034381007211	0.03150876212030989	0.25312169312169314	0
19000	-1206.7373077691066	-52.941495663055534	-1153.795812106051	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.09621821512894999	0.9761044305019614	-0.6880043976175856	2.189972725899398	-0.08221701717455772	3.0068376648360076	0.09426842855296624	0.9920183000360165	0.03904855715088165	0.253	0
19100	-1212.73343477997	-59.41589347594778	-1153.3175413040221	0.9982332155477032	0.996	0.19832155477031801	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20229681978798586	0.09689289081338176	0.982657531540226	-0.6868115336987932	2.1693528784841782	-0.08588921466349159	2.989398599879496	0.02858723520193744	0.9937968184770649	0.00669477586376814	0.25329842931937174	0
19200	-1214.4312420250371	-58.70723156794627	-1155.7240104570908	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.09278113941794475	0.9831968602196361	-0.6684107910208944	2.136732046083491	-0.09250302813352757	3.026802318572907	0.01290196130583578	0.985925337983862	0.09782859587700266	0.2534375	0
